"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","bmt","idd","tt","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","sma","osg","lmg","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","vo","sumh","ccbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","shb","shc","stdt","tbs","aot","ptm","msnh","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n13","n18","n23","n24","n40"
"All Care Family Services","","101 Cowardin Avenue","Suite 101-B","Richmond","VA","23225","","Richmond City","804-859-3244","","","","http://www.allcarefamilyservices.org","37.5196436","-77.4489737","MH","1","","","","","","","1","","1","1","1","1","","1","1","1","","","1","","1","","","","1","1","","","","","","","1","1","","","","","1","1","1","","1","1","","","","","","","","","","1","1","1","","","1","1","1","","1","1","","1","1","1","","","","","","","","","1","1","1","","","","","","1","","","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCU Health System","Virginia Treatment Center for Children","1308 Sherwood Avenue","","Richmond","VA","23220","","Richmond City","804-828-3129","Intakes","855-456-7792","804-828-8822","http://www.chrichmond.org/Services/Mental-and-Behavioral-Health.htm?vtcc=true","37.5704918","-77.4525385","MH","1","1","","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","","","1","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","1","","","","","","","","","","1","1","","","1","","","","","","1","","","1","1","1","1","","","1","","1","","","1","1","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Josephs Villa","Crisis Stabilization","8000 Brook Road","Seton House","Richmond","VA","23227","","Henrico","804-553-3200","","804-874-9119","","http://www.neverstopbelieving.org","37.6318904","-77.4605621","MH","1","","1","","","","","","","1","1","1","","","1","","1","","","1","1","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","1","1","","1","1","","","","","","","","","","1","1","","","","","","","","","1","","","","","","1","","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Richmond Behavioral Health Authority","","107 South 5th Street","","Richmond","VA","23219","3825","Richmond City","804-819-4000","","","","http://www.rbha.org","37.539087","-77.4407049","MH","1","","","","","","","","","1","","","1","1","","1","","","","","","1","","","1","1","1","","","","1","","","1","1","1","","","","1","","","","1","1","1","1","","1","1","1","","1","1","1","","1","","","1","1","1","","1","1","","","","","","1","1","1","1","","","1","","","1","","","","","","1","1","1","","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"VCU Medical Center","Department of Psychiatry","501 North 2nd Street","","Richmond","VA","23219","","Richmond City","804-828-1467","","804-828-2000","","http://www.vcuhealth.org/services/psychiatry/psychiatry","37.5465056","-77.4380034","MH","1","1","","","","","","","","1","1","1","1","1","","","1","1","1","1","1","","","1","","","1","","","1","","","","1","1","1","1","1","1","1","","1","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","1","1","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Hughes Center for Exceptional Children","","1601 Franklin Turnpike","","Danville","VA","24540","","Danville City","434-836-8500 x1010","Intakes","434-836-8500","434-836-8508","http://thehughescenter.com","36.644956","-79.404537","MH","1","","1","","","","","","","1","1","1","1","1","1","","1","","","","1","","","","1","","","","","","","","","1","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"ChildSavers","Memorial Child Guidance Clinic","200 North 22nd Street","","Richmond","VA","23223","","Richmond City","804-644-9590","","","","http://www.childsavers.org/","37.5328094","-77.4223523","MH","1","","","","","","1","","","1","1","1","1","1","","","1","1","","","","1","","","","","1","","","","","","","1","1","","1","1","1","1","1","","","1","1","1","1","","1","","1","","","1","","","","","","","","","1","1","","","1","","","","","","","","","","","","1","","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Hanover Cnty Community Services Board","","12300 Washington Highway","","Ashland","VA","23005","","Hanover","804-365-4222","","","","http://www.hanovercounty.gov/","37.7441924","-77.4704383","MH","1","","","","","","","1","","1","1","1","1","","","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","","","","","","","","1","1","","","","1","","1","","1","","1","1","","","1","","","","","","","1","","","1","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Health Connect America","","35 Southgate Court","Unit 101","Harrisonburg","VA","22801","","Harrisonburg City","540-440-7027","","","","http://www.healthconnectamerica.com","38.4120303","-78.8989196","MH","1","","","","","","1","","","1","1","1","1","","1","1","1","1","","1","","1","","","","","1","","","","","","","1","1","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","1","","","1","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Colonial Heights Counseling Services","","3660 Boulevard","Suite A","Colonial Heights","VA","23834","1345","Colonial Heights City","804-520-7210","","","","http://d19csb.com","37.281468","-77.412301","MH","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","","1","","","","","1","1","1","","","","1","1","","","","1","1","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"District 19 Community Services Board","Child and Adolescent Program","20 West Bank Street","Suite 5","Petersburg","VA","23803","3279","Petersburg City","804-862-8002","","","","http://www.d19csb.com","37.2313949","-77.4054209","MH","1","","","","","","","1","","1","","1","1","","1","1","1","","","","","1","","","","","1","","1","","","","","1","1","1","1","1","1","1","","","","1","1","","1","","1","","1","","1","","1","","","","","","","","","1","","","","","1","","","","1","","","","","1","1","","","","","","","","","1","1","","","","","1","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"District 19 Community Services Board","","20 West Bank Street","","Petersburg","VA","23803","","Petersburg City","804-862-8002","","","","http://d19csb.com","37.2313949","-77.4054209","MH","1","","","","","","","1","","","","1","1","","1","1","1","","","1","1","","","","","","1","","1","","","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","1","1","","","","","1","1","1","","1","1","","","","1","","1","1","1","1","1","1","1","","1","","1","","","","1","1","1","1","1","1","","","","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Henrico Area MH/Developmental Services","East Outpatient Center","3908 Nine Mile Road","","Richmond","VA","23223","","Richmond City","804-727-8100","","804-727-8515","","http://www.co.henrico.va.us/mhds/","37.541741","-77.3805871","MH","1","","","","","","","1","","1","1","1","1","","","1","1","","","1","","1","","","","","1","","","","1","","","1","1","1","","1","1","1","","1","","1","1","1","1","","","","1","1","1","1","1","","","","","","","","","1","1","","","","1","","1","1","1","","1","1","1","","","","1","1","","","","","1","1","1","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","",""
"Danville Pittsylvania Community Servs","","245 Hairston Street","","Danville","VA","24540","","Danville City","434-799-0456","","","","http://www.dpcs.org","36.5971182","-79.4162761","MH","1","","","","","","1","","","1","1","1","1","","1","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","","1","1","1","","1","1","1","1","","1","1","1","","1","","1","","","","","","1","","","1","1","","","","","","1","","1","","1","1","","","1","1","","","","","","1","1","1","1","1","","","1","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Ridge Behavioral Healthcare","","611 McDowell Avenue NW","","Roanoke","VA","24016","","Roanoke City","540-266-9200","","540-343-3007","","http://www.brbh.org","37.2825806","-79.9492923","MH","1","","","","","","1","","","1","1","1","1","","1","1","1","","","1","","1","","","","1","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","1","","","","","","","","","","","","","","","","","","","1","1","","","1","","1","","","","","","","","","","1","","","","","","1","1","1","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mental Wellness Now LLC","","1363 North Main Street","","Harrisonburg","VA","22802","","Harrisonburg City","540-246-8155","","","","http://www.mentalwellnessnow.com","38.4623826","-78.852442","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","1","","","","","","","1","1","","1","1","1","","1","1","1","1","1","1","1","1","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","","","","1","","1","1","","","1","","","","1","","1","","","","1","1","1","1","1","1","1","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Service of Roanoke Valley","","360 Campbell Avenue SW","","Roanoke","VA","24016","","Roanoke","540-795-4670","","540-795-4653","","http://fsrv.org","37.2710848","-79.948343","MH","1","","","","","","1","","","1","1","1","1","","","","1","1","","","1","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","1","","1","","","","","","","","1","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","1","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carilion Roanoke Memorial Hospital","Dept of Psych/Behavioral Medicine","2017 Jefferson Street SW","1st Floor, Administrative Suite","Roanoke","VA","24014","","Roanoke City","540-981-8597","","800-284-8898","","http://www.carilionclinic.org/","37.2503669","-79.9446846","MH","1","1","","","","","","","","1","1","1","1","","","","1","1","1","1","1","","","1","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","1","","1","","","","1","","","","","1","1","","1","","","","","","","1","1","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Intercept True North Health Clinic","","5673 Airport Road","","Roanoke","VA","24012","","Roanoke City","540-523-8080 x1","","","","http://www.intercepttruenorth.com","37.3238269","-79.9609746","MH","1","","","","","","1","","","1","1","1","","","1","1","1","","","1","","1","","","","","1","","","","","","","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","","","","1","","1","1","","","","","","","1","","1","","1","","1","","","","","","","1","","","1","","","","","","","","1","1","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","Roanoke Office","5369 Peters Creek Road","","Roanoke","VA","24019","","Roanoke","540-344-9501","","","","http://fpscorp.com/","37.3347182","-79.9750786","MH","1","","","","","","","1","","1","1","","1","","1","","1","","","","","1","","","","","1","","","","","","","1","1","1","","1","","1","1","","","","","","","","1","","","","","","1","","","","","","1","","1","1","1","","1","","1","1","","","","","","1","","","1","","","","","","","","","","","","1","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jackson Feild Homes","DBA Jacksonfeild Behavioral Health","546 Walnut Grove Drive","","Jarratt","VA","23867","8611","Greensville","434-634-3217 x3002","","434-634-3217 x3027","","http://www.jacksonfeild.org/wp1/","36.8400898","-77.5499513","MH","1","","1","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","","","","1","","","","","","","","","","1","","1","1","1","1","1","1","1","1","1","","","","","","","","","","1","1","","","1","1","","1","1","1","","","1","","","1","","1","1","","","1","1","1","1","","","","","","1","1","1","1","","","","1","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Piedmont Community Services","Franklin County Satellite Clinic","30 Technology Drive","","Rocky Mount","VA","24151","","Franklin","540-483-0582","","","","http://www.piedmontcsb.org","37.0154819","-79.8928121","MH","1","","","","","","","1","","1","","1","1","","","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","","","","","","","","","1","1","","","1","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Insight","Roanoke","3433 Brambleton Avenue","Suite 201-A","Roanoke","VA","24018","","Roanoke","540-266-7550","","","540-283-0013","http://familyinsight.net","37.2384864","-79.9996439","MH","1","","","","","","","1","","1","1","","1","","1","","1","","","","","1","","","","","1","","","","","","","1","1","","1","1","1","1","1","1","","","1","","","","1","","","1","","","1","1","1","","1","1","","","1","1","1","","1","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Ridge Behavioral Healthcare","Child Youth and Family Services","3517 Brandon Avenue SW","","Roanoke","VA","24018","","Roanoke","540-981-1102","","","","http://www.brbh.org/","37.2655777","-80.0056012","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","","1","","","","","","","","","","1","","","","","1","","","1","1","","","1","","","1","","","","","","","","","","","","","","","1","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thriveworks Counseling","","3235 Electric Road","Suite 1-A","Roanoke","VA","24018","6404","Roanoke","540-788-5090","","","","http://thriveworks.com/roanoke-therapy","37.2288058","-80.0079447","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","","1","","1","","","","","1","","","","","","","1","","1","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","","1","","1","1","","","","","","","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braley and Thompson","","2965 Colonnade Drive","Suite 130","Roanoke","VA","24018","","Roanoke","540-989-7175","","540-989-1703","","http://braleyandthompson.com","37.2339854","-80.0151688","MH","1","","","","","","1","","","1","1","1","1","","1","1","1","1","","1","","1","","","","","1","","","","","","","1","1","1","1","1","","","","1","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","1","1","1","","1","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"LewisGale Medical Center","Behavioral Health","1902 Braeburn Drive","","Salem","VA","24153","","Salem","540-772-2801","Intakes","540-776-1100","800-541-9992","http://lewisgale.com","37.2643745","-80.0277786","MH","1","1","","","","","","","","1","1","1","1","1","1","","1","1","1","1","1","","","1","","1","1","","","","","","","1","1","1","1","1","1","1","1","","","","1","","","","","","","","1","","1","","","","","","","","1","","1","","","","","","","","","1","","","1","","1","","","1","","1","1","","1","1","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Hopewell/Prince George Csl Servs","","4910 Prince George Drive","","Prince George","VA","23875","","Prince George","804-541-8660","","","","http://d19csb.com","37.246631","-77.273711","MH","1","","","","","","1","","","","","1","1","","","","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","","","","","","1","1","1","","1","1","","","","","1","","","","","","1","1","1","1","1","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","Covington Office","221 North Monroe Avenue","","Covington","VA","24426","","Covington City","540-962-5049","","","","http://www.fpscorp.com","37.793272","-79.9941628","MH","1","","","","","","1","","","1","1","1","1","","1","","1","","","","","1","","","","","1","","","","","","","1","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Area Comm Servs Board","Caroline County Clinic","19254 Rogers Clark Boulevard","","Ruther Glen","VA","22546","","Caroline","804-633-9997 x230","","540-373-3223","","http://www.rappahannockareacsb.org","37.9977082","-77.4172582","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","","","","","1","","1","1","1","","","","1","","","1","1","","","1","1","","1","","","","","","","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Health Connect America","Culpeper Business Center","14115 Lovers Lane ","","Culpeper","VA","22701","","Culpeper","540-222-7027","","","540-317-1404","http://healthconnectamerica.com/","38.445113","-77.991897","MH","1","","","","","","1","","","","","1","1","","1","","1","1","","","1","","","","","1","","","","","","","","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Area Comm Servs Board","Spotsylvania Clinic","7424 Brock Road","","Spotsylvania","VA","22553","","Spotsylvania","540-582-3980","","","","http://www.rappahannockareacsb.org","38.2024504","-77.5928801","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","1","","","","1","","1","1","1","","","","1","","","1","1","","","1","1","","1","","","","","","","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Rapidan CSB","Behavioral Healthcare of Culpeper","650 Laurel Street","","Culpeper","VA","22701","","Culpeper","540-825-5656 x3","","540-825-5656","","http://www.rrcsb.org","38.455988","-78.014484","MH","1","","","","","","","1","","1","","1","1","","1","1","1","","","1","","1","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","1","1","1","1","1","","1","","","","1","","","","","","","","1","","","","","","1","","","1","1","","","1","","","","","","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Health Connect America","","1300 Sunset Lane","Suite 3120","Culpeper","VA","22701","","Culpeper","540-399-9970","Intakes","540-222-2594","757-894-7661","http://healthconnectamerica.com/","38.4600602","-78.0149885","MH","1","","","","","","","","","1","1","1","1","","1","1","1","1","","","1","","","","","1","1","","","","","","","1","1","","1","1","1","1","","1","1","","1","","","","1","","","","","","1","1","","","","","","","","1","1","","1","","1","","","","","","","1","","","1","","","","","","","1","","1","","","1","","1","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"Greensville/Emporia Counseling","","1101 Greensville County Circle","","Emporia","VA","23847","","Emporia City","434-348-8900","","","","http://www.d19csb.com/","36.7365062","-77.5145289","MH","1","","","","","","","1","","","","1","1","","1","","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","1","","1","1","1","1","","1","1","1","1","","","1","","1","","","1","1","1","","1","1","","1","","1","","","","1","","1","1","","","1","","","","","","","","","1","1","1","","","1","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Childhelp USA","Alice Tyler Village of Childhelp","23164 Dragoon Road","","Lignum","VA","22726","","Culpeper","540-399-1926","","540-399-5073","","http://www.childhelp.org","38.387535","-77.841556","MH","1","","1","","","","","","","1","1","1","1","1","1","","1","1","","","1","","","","1","","","","","","","","","1","1","","","1","","1","1","","1","1","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","1","1","","","","1","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Empowering Families Program","","206 SE Street","","Culpeper","VA","22701","","Culpeper","540-829-6685","","","","http://www.empoweringfamiliesprogram.com/","38.4720935","-77.9950317","MH","1","","","","","","1","","","1","1","1","1","","1","1","1","1","","1","","1","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","1","","","1","","","","","","","","1","1","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","","445 Commonwealth Boulevard East","Suite A","Martinsville","VA","24112","","Henry","276-632-1113","","","","http://www.fpscorp.com","36.696677","-79.8551668","MH","1","","","","","","1","","","1","1","","1","","","","1","","","","","1","","","","","1","","","","","","","1","1","1","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piedmont Community Services","","24 Clay Street","","Martinsville","VA","24112","","Henry","276-632-7128","","","","http://www.piedmontcsb.org","36.6913204","-79.8673524","MH","1","","","","","","","1","","1","","1","1","","","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","","","","","","","1","","","1","1","","","1","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Northwestern Community Services","Page Clinic","23 West Main Street","","Luray","VA","22835","","Page","540-743-4548","","","","http://www.nwcsb.com","38.6652487","-78.4610298","MH","1","","","","","","","1","","1","","1","","","","1","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1","","1","","1","","","","","","","","","","1","","","","","","1","","1","","","1","","","","","","","","","","1","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mary Washington Hospital Inc","Psychiatric Unit","1200 Sam Perry Boulevard","","Fredericksburg","VA","22401","","Fredericksburg City","540-741-3900","","","","http://www.marywashingtonhealthcare.com/","38.3089259","-77.4822797","MH","1","1","","","","","","","","","","1","1","1","1","","","1","","","1","","","1","","1","1","","","","","","","1","1","1","1","1","1","1","1","","","","","1","1","1","1","1","","","1","1","1","1","1","1","1","","1","1","1","","1","","1","","","","","","1","","1","","","","","","","","","1","1","","","","","","","","","1","1","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Rappahannock Area Comm Servs Board ","Fredericksburg Clinic","600 Jackson Street","","Fredericksburg","VA","22401","5719","Fredericksburg City","540-373-3223","","540-373-3223 x2","","http://www.rappahannockareacsb.org","38.2972272","-77.462175","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","","","1","1","","1","1","1","","1","","1","","","1","1","","1","1","1","","1","","","","","","","","1","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Henrico Area Mental Health and","Developmental Service","9403 Pocahontas Trail","Suite A","Providence Forge","VA","23140","","New Kent","804-727-8970","","804-727-8515","","http://henrico.us/mhds/","37.4409097","-77.0349131","MH","1","","","","","","","1","","1","1","1","1","","","","","","","1","","1","","","","","1","","","","1","","","1","1","1","","1","","1","","","","1","1","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","1","","","1","","","","","","","","","1","","1","1","1","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
